Daily Transmission Connectivity Report
Generated: 2026-05-19 01:15 IST
Source:    https://www.ctuil.in/connectivity-effective-list
Page note: Displaying 1 to 10 of 636

Total: 565 | New: 25 | Removed: 0 | Unchanged: 540
- [31-03-2030] NR/Rajasthan Bhadla-IV | RENEW SOLAR POWER PRIVATE LIMITED (Solar) | 200 MW / GNA 200 MW | App 2200000521
- [31-03-2030] NR/Rajasthan Bhadla-IV | DEMETER SUN POWER PRIVATE LIMITED (Solar) | 300 MW / GNA 300 MW | App 2200000875
- [31-03-2030] NR/Rajasthan Bikaner-V | SA RENEWABLE INFRA PRIVATE LIMITED (Solar) | 100 MW / GNA 100 MW | App 2200000755
- [31-03-2030] NR/Rajasthan Bikaner-V | VENA ENERGY VINDHYA WIND POWER PRIVATE LIMITED (Solar) | 300 MW / GNA 300 MW | App 2200000796
- [31-03-2030] NR/Rajasthan Bikaner-V | SOLARCRAFT POWER INDIA 8 PRIVATE LIMITED (Solar) | 300 MW / GNA 300 MW | App 2200000866
- [31-03-2030] NR/Rajasthan Bhadla-IV | ADANI RENEWABLE ENERGY HOLDING FOUR LIMITED (Solar) | 765 MW / GNA 765 MW | App 2200000811
- [31-03-2030] NR/Rajasthan Ramgarh-II | JSW NEO ENERGY LIMITED (Solar) | 700 MW / GNA 700 MW | App 2200000797
- [31-03-2030] NR/Rajasthan Bikaner-V | NTPC RENEWABLE ENERGY LIMITED (Solar) | 1000 MW / GNA 1000 MW | App 2200000726
- [31-03-2030] NR/Rajasthan Ramgarh-II | RENEW SOLAR POWER PRIVATE LIMITED (Solar) | 400 MW / GNA 400 MW | App 2200000777
- [31-03-2030] NR/Rajasthan Bhadla-IV | KANTIDA RENEWABLES INDIA PROJECT PRIVATE LIMITED (Solar) | 300 MW / GNA 300 MW | App 2200000761
- [31-03-2030] NR/Rajasthan Ramgarh | Tata Power Renewable Energy Limited (Solar) | 600 MW / GNA 600 MW | App 2200000672

-- HEXA Transmission Connectivity Automation Agent --
